,RTI,Count
,,
2025,4.294118055,288425
2024,4.234362509,362750
2023,4.186483449,282942
2022,4.152362499,192508
2021,4.182232641,200919
2020,4.153116624,364513
2019,4.14069812,276514
2018,4.112905225,233975
2017,4.088149791,214646
2016,4.059955534,190708
2015,4.02566782,166512
2014,3.974538462,118571
2013,3.927134521,52096
2012,3.867602688,83189
2011,3.804158545,61560
2010,3.662405528,23155
2009,3.591043159,16613
2008,3.656623876,22902
2007,3.574871567,15767
2006,3.553071627,11183
2005,3.450315075,8252
2004,3.334613907,5206
2003,3.19690534,3296
2002,3.0419524,2479
2001,2.768402154,1671
2000,2.631067961,1236
1999,2.615171138,1081
1998,2.572135202,1213
1997,2.557029178,1131
1996,2.630434783,92
1995,2.388888889,54
1994,2.555555556,54
1993,2.580645161,31
1992,2.882352941,34
1991,2.382352941,34
1990,2.379310345,29
1989,2.755555556,45
1988,2.757575758,33
1987,2.489361702,47
1986,2.25,40
1985,2.6,10
1984,2.3,10
1983,2,8
1982,2.666666667,6
1981,2.333333333,3
1980,1,2
1979,2.5,2
1976,2,3
1964,2.333333333,15
1963,2,10
1961,1.538461538,13
1960,1.545454545,11
1959,2,4
