entity_key,csv_name,country,ror_id,ror_name,method,score,parent_count,child_count,status
"""Dunarea de Jos"" University of Galati|Romania","""Dunarea de Jos"" University of Galati",Romania,https://ror.org/052sta926,"""Dunarea de Jos"" University of Galati",local:exact,1.0,0,0,matched
MB Clinical Research and Consulting (United States)|United States,MB Clinical Research and Consulting (United States),United States,https://ror.org/04fasw929,MB Clinical Research and Consulting (United States),local:exact,1.0,0,0,matched
108 Military Central Hospital|Vietnam,108 Military Central Hospital,Vietnam,https://ror.org/04k25m262,108 Military Central Hospital,local:exact,1.0,0,0,matched
Johnson Center for Child Health and Development|United States,Johnson Center for Child Health and Development,United States,https://ror.org/034srtc18,Johnson Center for Child Health and Development,local:exact,1.0,0,0,matched
174th hospital of the People's Liberation Army|China,174th hospital of the People's Liberation Army,China,https://ror.org/014335v20,174th hospital of the People's Liberation Army,local:exact,1.0,0,0,matched
175th Hospital of People's Liberation Army|China,175th Hospital of People's Liberation Army,China,https://ror.org/03bzz8q98,175th Hospital of People's Liberation Army,local:exact,1.0,0,0,matched
181st Hospital of Chinese People's Liberation Army|China,181st Hospital of Chinese People's Liberation Army,China,https://ror.org/03kvr9360,181st Hospital of Chinese People's Liberation Army,local:exact,1.0,0,0,matched
Jehangir Hospital|India,Jehangir Hospital,India,https://ror.org/05twvab73,Jehangir Hospital,local:exact,1.0,0,0,matched
302 Military Hospital of China|China,302 Military Hospital of China,China,https://ror.org/01pd66220,302 Military Hospital of China,local:exact,1.0,0,0,matched
Council of Southeast Pennsylvania|United States,Council of Southeast Pennsylvania,United States,https://ror.org/05gd75v11,Council of Southeast Pennsylvania,local:exact,1.0,0,0,matched
303 Hospital of People's Liberation Army|China,303 Hospital of People's Liberation Army,China,https://ror.org/05rq9gz82,303 Hospital of People's Liberation Army,local:exact,1.0,0,0,matched
Mylan (United Kingdom)|United Kingdom,Mylan (United Kingdom),United Kingdom,https://ror.org/05wf4cy96,YTL (United Kingdom),local:fuzzy(0.79),0.792,0,0,matched
305 Hospital of People Liberation Army|China,305 Hospital of People Liberation Army,China,https://ror.org/02zztqs66,305 Hospital of People Liberation Army,local:exact,1.0,0,0,matched
307th Hospital of Chinese People’s Liberation Army|China,307th Hospital of Chinese People’s Liberation Army,China,https://ror.org/00vrd0936,307th Hospital of Chinese People’s Liberation Army,local:exact,1.0,0,0,matched
37 Military Hospital|Ghana,37 Military Hospital,Ghana,https://ror.org/00txnqh94,37 Military Hospital,local:exact,1.0,0,0,matched
St. Elizabeth's Medical Center|United States,St. Elizabeth's Medical Center,United States,https://ror.org/00cr15z55,St. Elizabeth's Medical Center,local:exact,1.0,0,0,matched
Rocky Mountain Multiple Sclerosis Clinic|United States,Rocky Mountain Multiple Sclerosis Clinic,United States,https://ror.org/015dsp568,Rocky Mountain Multiple Sclerosis Clinic,local:exact,1.0,0,0,matched
401 General Military Hospital of Athens|Greece,401 General Military Hospital of Athens,Greece,https://ror.org/01zy69h55,401 General Military Hospital of Athens,local:exact,1.0,0,0,matched
Lars Research Institute|United States,Lars Research Institute,United States,https://ror.org/00a9t7j25,Lars Research Institute,local:exact,1.0,0,0,matched
421 Hospital of PLA|China,421 Hospital of PLA,China,https://ror.org/0563z6d74,421 Hospital of PLA,local:exact,1.0,0,0,matched
424 General Military Hospital|Greece,424 General Military Hospital,Greece,https://ror.org/02cpzy455,424 General Military Hospital,local:exact,1.0,0,0,matched
458th Hospital PLA|China,458th Hospital PLA,China,https://ror.org/05bhd7f62,458th Hospital PLA,local:exact,1.0,0,0,matched
4D Pharma (United Kingdom)|United Kingdom,4D Pharma (United Kingdom),United Kingdom,https://ror.org/046qhgy77,4D Pharma (United Kingdom),local:exact,1.0,0,0,matched
81th Hospital of PLA|China,81th Hospital of PLA,China,https://ror.org/02xxx6w64,81th Hospital of PLA,local:exact,1.0,0,0,matched
Ernst Strüngmann Institute for Neuroscience|Germany,Ernst Strüngmann Institute for Neuroscience,Germany,https://ror.org/00ygt2y02,Ernst Strüngmann Institute for Neuroscience,local:exact,1.0,0,0,matched
82th Hospital of Pla|China,82th Hospital of Pla,China,https://ror.org/02ddfy797,82th Hospital of Pla,local:exact,1.0,0,0,matched
A N Bach Institute of Biochemistry|Russia,A N Bach Institute of Biochemistry,Russia,https://ror.org/0009wsb17,A N Bach Institute of Biochemistry,local:exact,1.0,1,0,matched
Institute for Anthropological Research|Croatia,Institute for Anthropological Research,Croatia,https://ror.org/001xj8m36,Institute for Anthropological Research,local:exact,1.0,0,0,matched
A. N. Nesmeyanov Institute of Organoelement Compounds|Russia,A. N. Nesmeyanov Institute of Organoelement Compounds,Russia,https://ror.org/03jzs4815,A. N. Nesmeyanov Institute of Organoelement Compounds,local:exact,1.0,1,0,matched
Mental Research Institute|United States,Mental Research Institute,United States,https://ror.org/003c3g222,Mental Research Institute,local:exact,1.0,0,0,matched
A.E. Arbuzov Institute of Organic and Physical Chemistry|Russia,A.E. Arbuzov Institute of Organic and Physical Chemistry,Russia,https://ror.org/03jty3219,A.E. Arbuzov Institute of Organic and Physical Chemistry,local:exact,1.0,1,0,matched
Albion Centre|Australia,Albion Centre,Australia,https://ror.org/0066jxm83,Albion Centre,local:exact,1.0,0,0,matched
A.T. Still University|United States,A.T. Still University,United States,https://ror.org/05hr6q169,A.T. Still University,local:exact,1.0,0,0,matched
Fairview Health Services|United States,Fairview Health Services,United States,https://ror.org/04hsn8391,Fairview Health Services,local:exact,1.0,0,6,matched
A.V. Shubnikov Institute of Crystallography|Russia,A.V. Shubnikov Institute of Crystallography,Russia,https://ror.org/049ecjx61,A.V. Shubnikov Institute of Crystallography,local:exact,1.0,1,0,matched
Pakistan Institute of Learning and Living|Pakistan,Pakistan Institute of Learning and Living,Pakistan,https://ror.org/046aqw930,Pakistan Institute of Learning and Living,local:exact,1.0,0,0,matched
Biomedal (Spain)|Spain,Biomedal (Spain),Spain,https://ror.org/05b3zn620,Biomedal (Spain),local:exact,1.0,0,0,matched
AAIR Charity|United Kingdom,AAIR Charity,United Kingdom,https://ror.org/01jd81545,AAIR Charity,local:exact,1.0,0,0,matched
AC Camargo Hospital|Brazil,AC Camargo Hospital,Brazil,https://ror.org/03025ga79,AC Camargo Hospital,local:exact,1.0,0,0,matched
International Peace Maternity & Child Health Hospital|China,International Peace Maternity & Child Health Hospital,China,https://ror.org/01byttc20,International Peace Maternity & Child Health Hospital,local:exact,1.0,0,0,matched
ACPM Dental College and Hospital|India,ACPM Dental College and Hospital,India,https://ror.org/01ry3tb23,ACPM Dental College and Hospital,local:exact,1.0,0,0,matched
ADD Centre|Canada,ADD Centre,Canada,https://ror.org/045z78c59,ADD Centre,local:exact,1.0,0,0,matched
